,0,Illiterate Male,dsf,Illiterate Persons,Literates Population Female,Literates Population Male,Literates Population Person,Main Agricultural Labourers Population Female,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Person,Main Cultivator Population Female,Main Cultivator Population Male,Main Cultivator Population Person,Main Household Industries Population Female,Main Household Industries Population Male,Main Household Industries Population Person,Main Other Workers Population Female,Main Other Workers Population Male,Main Other Workers Population Person,Main Working Population Female,Main Working Population Male,Main Working Population Person,Marginal Agriculture Labourers Population 0_3 Female,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population Female,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3_Female,Marginal Cultivator Population 3_6 Female,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population Female,Marginal Cultivator Population Male,Marginal Cultivator Population Person,Marginal Household Industries Population 0_3 Female,Marginal Household Industries Population 0_3 Male
30,5452,5253,10705,10705,15164,16067.0,31231,122.0,280.0,89.0,6.0,20.0,72.0,69.0,190.0,2038.0,2761.0,10247.0,13513,3618.0,11226.0,13267,,,,10.0,3.0,14.0,36.0,85.0,60.0,,,,11.0,41.0,7.0,46.0,52.0,72.0,,21.0
31,3779,3164,6943,6943,15678,16713.0,32391,4.0,69.0,373.0,7.0,42.0,123.0,71.0,216.0,2055.0,2207.0,12786.0,15547,2903.0,10775.0,14393,,,,24.0,7.0,40.0,38.0,1.0,43.0,,,,51.0,49.0,2.0,4.0,41.0,92.0,,4.0
32,5514,4912,10426,10426,17657,19843.0,37500,2.0,91.0,160.0,52.0,76.0,17.0,152.0,223.0,307.0,3348.0,6957.0,9164,2235.0,13260.0,16163,,,,3.0,126.0,68.0,12.0,20.0,14.0,,,,83.0,37.0,12.0,11.0,49.0,108.0,,10.0
33,2377,1968,4345,4345,9514,10449.0,19963,55.0,109.0,149.0,33.0,22.0,42.0,52.0,166.0,541.0,3618.0,10198.0,13546,3443.0,7032.0,9267,,,,7.0,36.0,30.0,4.0,18.0,71.0,,,,28.0,32.0,41.0,51.0,34.0,32.0,,2.0
34,2561,2137,4698,4698,14808,17232.0,32040,57.0,65.0,272.0,8.0,25.0,50.0,297.0,496.0,172.0,3230.0,10365.0,13983,3693.0,10463.0,13906,,,,14.0,85.0,143.0,1.0,33.0,164.0,,,,15.0,19.0,17.0,85.0,16.0,19.0,,1.0
35,3772,2820,6592,6592,14130,16314.0,30444,46.0,32.0,264.0,24.0,33.0,70.0,157.0,58.0,170.0,4279.0,11931.0,15161,3317.0,10559.0,14252,,,,33.0,1.0,4.0,2.0,47.0,4.0,,,,19.0,45.0,32.0,15.0,5.0,121.0,,11.0
36,4451,3500,7951,7951,15363,17793.0,33156,93.0,48.0,125.0,83.0,23.0,253.0,172.0,193.0,654.0,8111.0,10063.0,14342,4727.0,12160.0,15477,,,,36.0,20.0,77.0,8.0,2.0,49.0,,,,29.0,18.0,50.0,29.0,19.0,110.0,,
37,5181,4034,9215,9215,12366,15298.0,27664,34.0,137.0,296.0,74.0,29.0,164.0,199.0,284.0,550.0,8752.0,20406.0,28517,8545.0,10743.0,15470,,,,4.0,17.0,64.0,3.0,21.0,79.0,,,,47.0,36.0,92.0,47.0,45.0,16.0,,
38,6342,5073,11415,11415,20043,27831.0,47874,5.0,367.0,113.0,79.0,21.0,65.0,100.0,122.0,319.0,8966.0,20253.0,29005,9855.0,21672.0,30217,,,,0.0,5.0,23.0,135.0,11.0,65.0,,,,60.0,57.0,57.0,60.0,20.0,33.0,,
39,9851,7874,17725,17725,24472,30597.0,55069,7.0,125.0,409.0,94.0,40.0,178.0,60.0,356.0,298.0,6672.0,19212.0,28178,9770.0,22622.0,32477,,,,8.0,33.0,1.0,11.0,12.0,24.0,,,,27.0,20.0,179.0,28.0,27.0,15.0,,
40,6904,5296,12200,12200,19258,26356.0,45614,20.0,21.0,110.0,46.0,125.0,156.0,147.0,112.0,379.0,6374.0,15500.0,19441,6949.0,20966.0,30736,,,,11.0,19.0,11.0,9.0,29.0,25.0,,,,42.0,4.0,26.0,42.0,37.0,21.0,,
41,6256,5001,11257,11257,13389,16706.0,30095,52.0,26.0,123.0,25.0,105.0,129.0,91.0,388.0,700.0,4583.0,12258.0,21874,6695.0,13242.0,20191,,,,2.0,2.0,7.0,6.0,74.0,7.0,,,,6.0,23.0,72.0,6.0,57.0,93.0,,
42,5980,4637,10617,10617,18603,21980.0,40583,35.0,143.0,79.0,14.0,180.0,166.0,58.0,620.0,99.0,2548.0,8910.0,16841,4654.0,16080.0,22775,,,,126.0,27.0,93.0,105.0,73.0,2.0,,,,41.0,25.0,89.0,23.0,21.0,24.0,,
43,4922,3685,8607,8607,14536,17069.0,31605,59.0,106.0,133.0,47.0,46.0,426.0,15.0,164.0,398.0,2450.0,8419.0,11458,2629.0,12430.0,17084,,,,19.0,70.0,114.0,26.0,6.0,1.0,,,,37.0,24.0,107.0,38.0,23.0,8.0,,
44,2969,2416,5385,5385,13700,15111.0,28811,85.0,249.0,28.0,15.0,39.0,71.0,20.0,353.0,107.0,2457.0,10797.0,10869,2513.0,9151.0,11780,,,,9.0,68.0,9.0,19.0,16.0,11.0,,,,16.0,3.0,30.0,19.0,25.0,18.0,,
45,2754,2296,5050,5050,12649,13750.0,26399,41.0,81.0,85.0,37.0,63.0,32.0,123.0,451.0,155.0,1621.0,8382.0,13254,2674.0,8656.0,11169,,,,6.0,15.0,10.0,119.0,5.0,122.0,,,,31.0,17.0,19.0,31.0,24.0,55.0,,
46,6918,6658,13576,13576,13281,15278.0,28559,33.0,360.0,189.0,39.0,36.0,18.0,35.0,623.0,479.0,3477.0,9217.0,12694,1760.0,11687.0,14361,,,,104.0,4.0,191.0,18.0,15.0,13.0,,,,81.0,35.0,83.0,82.0,4.0,95.0,,
47,5227,5231,10458,10458,12352,13004.0,25356,8.0,304.0,256.0,21.0,45.0,22.0,39.0,433.0,106.0,4818.0,15280.0,20098,3651.0,8996.0,10756,,,,26.0,6.0,48.0,15.0,0.0,213.0,,,,12.0,89.0,121.0,13.0,61.0,158.0,,
48,4457,3845,8302,8302,14442,21482.0,29653,9.0,147.0,209.0,12.0,65.0,62.0,124.0,74.0,364.0,4272.0,12358.0,16630,4971.0,9576.0,13227,,,,114.0,8.0,27.0,25.0,118.0,56.0,,,,54.0,59.0,110.0,119.0,18.0,34.0,,
49,6258,4924,11182,11182,16430,19334.0,37912,6.0,197.0,505.0,41.0,26.0,38.0,122.0,148.0,151.0,3530.0,9260.0,12162,4500.0,15594.0,20565,,,,15.0,0.0,54.0,24.0,14.0,30.0,,,,25.0,42.0,13.0,25.0,36.0,65.0,,
50,5242,4333,9575,9575,17250,15183.0,36584,15.0,267.0,182.0,18.0,34.0,87.0,19.0,165.0,540.0,4181.0,12769.0,16299,3076.0,12892.0,17392,,,,17.0,112.0,29.0,14.0,9.0,59.0,,,,10.0,53.0,23.0,10.0,92.0,46.0,,
51,3746,2898,6644,6644,13341,19796.0,36707,49.0,33.0,84.0,31.0,37.0,47.0,65.0,286.0,223.0,2880.0,16265.0,20446,3741.0,9672.0,12748,,,,23.0,13.0,39.0,30.0,24.0,32.0,,,,3.0,62.0,33.0,3.0,59.0,40.0,,
52,6534,5344,11878,11878,16911,22781.0,38041,14.0,157.0,46.0,17.0,116.0,40.0,50.0,149.0,252.0,3823.0,11342.0,14222,4510.0,13166.0,21710,,,,13.0,9.0,105.0,,22.0,44.0,,,,52.0,15.0,15.0,53.0,44.0,23.0,,
53,6730,5420,12150,12150,15260,15007.0,26371,32.0,119.0,200.0,44.0,83.0,51.0,43.0,158.0,917.0,5968.0,13069.0,16892,2989.0,17200.0,14520,,,,27.0,16.0,19.0,,17.0,105.0,,,,23.0,16.0,21.0,24.0,55.0,79.0,,
54,4280,3295,7575,7575,11364,18507.0,34423,17.0,133.0,157.0,23.0,19.0,73.0,95.0,264.0,574.0,4999.0,17162.0,23130,3951.0,11531.0,17300,,,,,205.0,21.0,,206.0,8.0,,,,9.0,14.0,8.0,9.0,64.0,82.0,,
55,4890,4130,9020,9020,15916,24782.0,46673,43.0,190.0,319.0,109.0,17.0,83.0,31.0,171.0,608.0,4173.0,10178.0,17938,6223.0,13349.0,23860,,,,,23.0,36.0,,25.0,35.0,,,,22.0,39.0,18.0,22.0,15.0,66.0,,
56,6371,5771,12142,12142,21891,18581.0,35010,125.0,54.0,206.0,32.0,44.0,229.0,226.0,93.0,795.0,3152.0,8587.0,14351,5185.0,17637.0,18523,,,,,24.0,57.0,,26.0,40.0,,,,40.0,27.0,55.0,41.0,17.0,96.0,,
57,4735,4238,8973,8973,16429,16849.0,33359,109.0,66.0,551.0,11.0,585.0,179.0,70.0,162.0,632.0,2285.0,9962.0,11739,4312.0,13338.0,14904,,,,,93.0,5.0,,96.0,17.0,,,,138.0,,93.0,139.0,14.0,97.0,,
58,3916,3087,7003,7003,16510,14174.0,26064,84.0,88.0,431.0,211.0,149.0,398.0,79.0,128.0,109.0,2732.0,8136.0,12247,3266.0,10592.0,12018,,,,,18.0,28.0,,23.0,57.0,,,,100.0,,156.0,102.0,39.0,62.0,,
59,5071,4199,9270,9270,12730,13932.0,27268,73.0,113.0,196.0,54.0,60.0,81.0,136.0,77.0,207.0,1650.0,5722.0,10868,2964.0,8752.0,12613,,,,,11.0,25.0,,13.0,82.0,,,,24.0,,65.0,26.0,31.0,38.0,,
60,5543,5239,10782,10782,13094,9029.0,26870,50.0,46.0,260.0,9.0,142.0,64.0,350.0,172.0,265.0,2624.0,8353.0,7372,1687.0,10195.0,11601,,,,,21.0,46.0,,27.0,5.0,,,,88.0,,43.0,92.0,,67.0,,
61,4151,3373,7524,7524,12938,13426.0,17958,18.0,35.0,128.0,135.0,158.0,67.0,74.0,109.0,426.0,4089.0,9908.0,10977,2790.0,8637.0,7543,,,,,10.0,103.0,,10.0,6.0,,,,82.0,,22.0,86.0,,26.0,,
62,2079,1691,3770,3770,8929,15627.0,26172,28.0,52.0,389.0,58.0,81.0,56.0,30.0,178.0,218.0,3390.0,9934.0,13997,4146.0,5856.0,11549,,,,,28.0,104.0,,28.0,31.0,,,,14.0,,96.0,14.0,,11.0,,
63,2870,2076,4946,4946,12746,15774.0,31205,54.0,57.0,27.0,19.0,32.0,88.0,33.0,197.0,411.0,3266.0,9404.0,13324,3585.0,8759.0,14211,,,,,59.0,15.0,,64.0,36.0,,,,18.0,,97.0,18.0,,42.0,,
64,2473,1931,4404,4404,15578,15490.0,30797,21.0,77.0,32.0,20.0,35.0,30.0,87.0,177.0,262.0,3928.0,13405.0,12670,3378.0,10453.0,14038,,,,,,8.0,,,48.0,,,,17.0,,59.0,17.0,,83.0,,
65,2601,2119,4912,4912,15023,19441.0,30066,19.0,61.0,50.0,28.0,38.0,118.0,99.0,265.0,193.0,8232.0,18163.0,17333,4043.0,9679.0,13057,,,,,,6.0,,,110.0,,,,48.0,,39.0,48.0,,39.0,,
66,4723,1907,4508,4508,14576,23932.0,36242,67.0,101.0,212.0,66.0,56.0,44.0,110.0,68.0,137.0,9379.0,21539.0,26395,8605.0,13637.0,17680,,,,,,12.0,,,111.0,,,,26.0,,38.0,27.0,,44.0,,
67,7634,3650,8373,8373,16801,26991.0,43547,11.0,228.0,176.0,100.0,51.0,106.0,119.0,95.0,179.0,8972.0,23202.0,30918,9535.0,18961.0,27566,,,,,,16.0,,,15.0,,,,,,10.0,,,68.0,,
68,8089,5896,13530,13530,19615,28752.0,47242,26.0,72.0,179.0,71.0,77.0,105.0,442.0,61.0,245.0,5859.0,18731.0,32174,9250.0,21936.0,31471,,,,,,24.0,,,9.0,,,,,,58.0,,,139.0,,
69,8260,6148,14237,14237,20251,26962.0,51019,10.0,161.0,283.0,53.0,91.0,149.0,218.0,365.0,181.0,7617.0,21247.0,24590,6251.0,23777.0,33027,,,,,,2.0,,,10.0,,,,,,42.0,,,48.0,,
70,7411,7035,15295,15295,22267,29414.0,48757,22.0,261.0,77.0,80.0,43.0,39.0,111.0,117.0,92.0,4629.0,12939.0,28864,7843.0,19705.0,25956,,,,,,238.0,,,12.0,,,,,,82.0,,,14.0,,
71,8159,6104,13515,13515,21795,18171.0,54039,56.0,104.0,55.0,75.0,11.0,48.0,380.0,32.0,192.0,4426.0,14120.0,17568,4758.0,21663.0,29506,,,,,,18.0,,,18.0,,,,,,44.0,,,36.0,,
72,5952,6724,14883,14883,24625,20866.0,33583,61.0,97.0,150.0,26.0,14.0,34.0,301.0,133.0,257.0,2826.0,9523.0,18546,4645.0,13244.0,18002,,,,,,32.0,,,26.0,,,,,,67.0,,,144.0,,
73,5537,4309,10261,10261,15412,14831.0,38817,69.0,84.0,111.0,27.0,71.0,239.0,188.0,230.0,292.0,3055.0,9443.0,12349,2897.0,14847.0,19492,,,,,,34.0,,,3.0,,,,,,138.0,,,49.0,,
74,2665,4380,9917,9917,17951,14703.0,28468,30.0,60.0,99.0,42.0,30.0,158.0,22.0,417.0,285.0,2203.0,6967.0,12498,3297.0,9683.0,12580,,,,,,22.0,,,253.0,,,,,,46.0,,,25.0,,
75,3449,2103,4768,4768,13637,12493.0,27542,60.0,73.0,51.0,86.0,127.0,116.0,11.0,105.0,388.0,4432.0,10163.0,9170,2277.0,7086.0,13244,,,,,,309.0,,,20.0,,,,,,14.0,,,7.0,,
76,2198,2397,5846,5846,12839,15415.0,24699,13.0,36.0,52.0,40.0,61.0,25.0,159.0,415.0,103.0,3866.0,8962.0,14595,4568.0,10499.0,9363,,,,,,49.0,,,33.0,,,,,,35.0,,,114.0,,
77,4706,1938,4136,4136,12206,15019.0,29094,58.0,31.0,101.0,,13.0,68.0,66.0,173.0,134.0,5962.0,17171.0,12828,4096.0,9332.0,15067,,,,,,207.0,,,37.0,,,,,,79.0,,,41.0,,
78,2996,3491,8197,8197,13679,24543.0,29777,24.0,20.0,87.0,,27.0,668.0,59.0,290.0,89.0,5474.0,18190.0,23133,6216.0,17818.0,13428,,,,,,35.0,,,23.0,,,,,,49.0,,,27.0,,
79,6185,2455,5451,5451,14758,22548.0,45604,36.0,24.0,126.0,,58.0,223.0,108.0,280.0,487.0,3349.0,12277.0,23664,5599.0,18513.0,24034,,,,,,26.0,,,311.0,,,,,,6.0,,,37.0,,
80,6441,5273,11458,11458,21061,19282.0,37819,31.0,50.0,115.0,,28.0,99.0,331.0,491.0,171.0,4680.0,14429.0,15626,3487.0,12729.0,24112,,,,,,38.0,,,51.0,,,,,,111.0,,,77.0,,
81,5331,5371,11812,11812,15271,21152.0,34289,164.0,184.0,103.0,,97.0,217.0,53.0,364.0,51.0,7408.0,18951.0,19109,5131.0,15608.0,16216,,,,,,33.0,,,45.0,,,,,,36.0,,,231.0,,
82,6690,4322,9653,9653,15007,26274.0,38630,75.0,44.0,45.0,,64.0,237.0,40.0,235.0,272.0,3598.0,13902.0,26359,7683.0,19503.0,20739,,,,,,41.0,,,215.0,,,,,,40.0,,,161.0,,
83,7444,5236,11926,11926,17478,18849.0,49025,128.0,98.0,49.0,,24.0,175.0,140.0,231.0,216.0,3167.0,11460.0,17500,3723.0,14254.0,27186,,,,,,86.0,,,41.0,,,,,,25.0,,,70.0,,
84,4337,6614,14058,14058,22751,17027.0,31725,40.0,93.0,94.0,,66.0,55.0,114.0,273.0,183.0,4179.0,9398.0,14627,3403.0,12047.0,17977,,,,,,,,,28.0,,,,,,37.0,,,147.0,,
85,4519,3706,8043,8043,12876,16243.0,31509,275.0,70.0,83.0,,68.0,60.0,32.0,236.0,274.0,3281.0,11767.0,14559,4336.0,10622.0,15450,,,,,,,,,52.0,,,,,,75.0,,,150.0,,
86,4268,3898,8417,8417,14482,14682.0,30801,114.0,39.0,136.0,,140.0,124.0,320.0,436.0,397.0,2681.0,8876.0,12679,3417.0,9698.0,14958,,,,,,,,,34.0,,,,,,227.0,,,29.0,,
87,2944,3182,7450,7450,14558,17220.0,28542,102.0,99.0,311.0,,59.0,66.0,125.0,255.0,512.0,1609.0,10896.0,14448,2884.0,12205.0,13115,,,,,,,,,42.0,,,,,,159.0,,,35.0,,
88,2868,2307,5251,5251,13860,13759.0,29815,409.0,328.0,96.0,,88.0,114.0,51.0,225.0,111.0,1148.0,6280.0,10485,1636.0,9000.0,15089,,,,,,,,,94.0,,,,,,66.0,,,31.0,,
89,2910,2407,5275,5275,12595,15365.0,27045,88.0,287.0,220.0,,186.0,52.0,206.0,57.0,641.0,2375.0,8824.0,12044,1174.0,6435.0,10636,,,,,,,,,,,,,,,141.0,,,87.0,,
90,4123,2734,5644,5644,13286,9729.0,29424,27.0,237.0,145.0,,80.0,26.0,54.0,873.0,243.0,2289.0,9789.0,8655,2419.0,9201.0,12292,,,,,,,,,,,,,,,144.0,,,58.0,,
91,1632,3959,8082,8082,14059,14665.0,19873,39.0,255.0,138.0,,31.0,45.0,62.0,186.0,369.0,4131.0,10388.0,11113,2434.0,10181.0,8854,,,,,,,,,,,,,,,29.0,,,,,
92,3145,1310,2942,2942,10144,15309.0,25422,25.0,297.0,109.0,,55.0,20.0,94.0,226.0,416.0,3162.0,9961.0,13920,4329.0,10720.0,11635,,,,,,,,,,,,,,,34.0,,,,,
93,5797,2641,5786,5786,10757,15408.0,27892,45.0,89.0,132.0,,47.0,59.0,28.0,259.0,841.0,3385.0,9960.0,13550,3629.0,10445.0,14510,,,,,,,,,,,,,,,31.0,,,,,
94,5139,4004,9801,9801,12583,15211.0,28898,83.0,76.0,97.0,,110.0,31.0,86.0,471.0,394.0,2361.0,9926.0,13346,2418.0,10101.0,14044,,,,,,,,,,,,,,,87.0,,,,,
95,4315,4073,9212,9212,13490,14328.0,28454,,53.0,44.0,,250.0,115.0,175.0,860.0,301.0,3140.0,8536.0,12321,3206.0,10089.0,14074,,,,,,,,,,,,,,,53.0,,,,,
96,3235,2952,7267,7267,13243,14618.0,27169,,100.0,39.0,,,53.0,83.0,779.0,156.0,2733.0,9110.0,13066,2917.0,8902.0,12519,,,,,,,,,,,,,,,,,,,,
97,3237,2509,5744,5744,12841,13334.0,27496,,79.0,29.0,,,84.0,21.0,416.0,318.0,2943.0,16733.0,11269,3009.0,9231.0,13295,,,,,,,,,,,,,,,,,,,,
98,2793,2351,5588,5588,12878,13383.0,25409,,56.0,65.0,,,236.0,167.0,63.0,372.0,5478.0,18186.0,12053,5672.0,17238.0,11819,,,,,,,,,,,,,,,,,,,,
99,2901,2131,4924,4924,12075,22289.0,24833,,47.0,233.0,,,161.0,67.0,42.0,328.0,5662.0,7890.0,22211,5783.0,18413.0,12240,,,,,,,,,,,,,,,,,,,,
100,6419,2317,5218,5218,11450,23795.0,39634,,23.0,58.0,,,63.0,56.0,333.0,546.0,2419.0,7933.0,23848,2473.0,7987.0,22910,,,,,,,,,,,,,,,,,,,,
101,6201,4840,11259,11259,17345,11991.0,42442,,221.0,130.0,,,24.0,88.0,185.0,335.0,2623.0,7375.0,10309,2761.0,8229.0,24196,,,,,,,,,,,,,,,,,,,,
102,2592,4889,11090,11090,18647,12435.0,22410,,37.0,124.0,,,54.0,131.0,238.0,176.0,2126.0,11171.0,10556,2257.0,7668.0,10460,,,,,,,,,,,,,,,,,,,,
103,2898,1871,4463,4463,10419,10897.0,23278,,17.0,56.0,,,299.0,41.0,354.0,1315.0,3228.0,9565.0,9501,3324.0,11444.0,10990,,,,,,,,,,,,,,,,,,,,
104,2269,2179,5077,5077,10843,16668.0,20292,,82.0,142.0,,,112.0,27.0,993.0,294.0,3094.0,10168.0,14399,3166.0,9852.0,9925,,,,,,,,,,,,,,,,,,,,
105,3027,2403,3889,3889,9395,15115.0,31031,,28.0,453.0,,,58.0,205.0,256.0,444.0,1091.0,7818.0,12659,1147.0,10600.0,14768,,,,,,,,,,,,,,,,,,,,
106,2529,2159,5430,5430,14363,15052.0,29178,,59.0,412.0,,,37.0,78.0,359.0,582.0,2023.0,6108.0,11259,2150.0,8297.0,13018,,,,,,,,,,,,,,,,,,,,
107,3190,2577,4688,4688,14063,12165.0,27525,,183.0,346.0,,,232.0,80.0,246.0,1240.0,2317.0,8560.0,9841,2398.0,6269.0,11747,,,,,,,,,,,,,,,,,,,,
108,2531,1834,5767,5767,12473,10184.0,23139,,204.0,339.0,,,122.0,18.0,78.0,1080.0,3274.0,11705.0,8425,3351.0,8729.0,10447,,,,,,,,,,,,,,,,,,,,
109,2690,1334,4365,4365,10974,13356.0,20131,,135.0,370.0,,,43.0,47.0,548.0,604.0,4488.0,13866.0,11834,4773.0,12235.0,8667,,,,,,,,,,,,,,,,,,,,
110,3567,2141,2864,2864,9947,17094.0,25807,,62.0,139.0,,,86.0,23.0,276.0,57.0,3034.0,9371.0,16193,3139.0,14097.0,12080,,,,,,,,,,,,,,,,,,,,
111,2650,2901,4831,4831,12451,19105.0,31640,,188.0,71.0,,,108.0,221.0,87.0,91.0,3425.0,13417.0,16900,3577.0,9758.0,17008,,,,,,,,,,,,,,,,,,,,
112,3960,2154,6468,6468,14546,15463.0,32112,,30.0,104.0,,,134.0,82.0,406.0,492.0,3938.0,12124.0,12796,4230.0,13896.0,17236,,,,,,,,,,,,,,,,,,,,
113,6578,3222,4804,4804,13007,19410.0,29878,,144.0,78.0,,,240.0,34.0,99.0,251.0,3154.0,6760.0,17355,3614.0,12799.0,13335,,,,,,,,,,,,,,,,,,,,
114,4283,5913,7182,7182,14415,18757.0,36043,,68.0,154.0,,,130.0,92.0,283.0,297.0,2135.0,7401.0,15278,2453.0,7213.0,18126,,,,,,,,,,,,,,,,,,,,
115,5339,3480,12491,12491,16633,10259.0,34332,,49.0,100.0,,,141.0,215.0,102.0,462.0,1063.0,10807.0,8895,1112.0,7819.0,16413,,,,,,,,,,,,,,,,,,,,
116,3104,4188,7763,7763,15575,11655.0,19257,,95.0,90.0,,,266.0,93.0,298.0,1324.0,3033.0,10729.0,8464,3149.0,11118.0,9666,,,,,,,,,,,,,,,,,,,,
117,5026,2501,9527,9527,8998,15419.0,21471,,112.0,75.0,,,155.0,68.0,195.0,263.0,3280.0,11914.0,13840,3343.0,10927.0,8931,,,,,,,,,,,,,,,,,,,,
118,4604,3794,5605,5605,9816,15646.0,28524,,369.0,74.0,,,57.0,44.0,92.0,296.0,4762.0,11453.0,14009,4907.0,12245.0,14267,,,,,,,,,,,,,,,,,,,,
119,6389,3510,8820,8820,13105,15486.0,29240,,64.0,34.0,,,82.0,42.0,97.0,499.0,3282.0,10054.0,16676,3434.0,11823.0,14270,,,,,,,,,,,,,,,,,,,,
120,3803,4888,8114,8114,13594,17737.0,28755,,281.0,48.0,,,89.0,305.0,86.0,360.0,3717.0,5490.0,14735,3896.0,10454.0,17152,,,,,,,,,,,,,,,,,,,,
121,4585,3168,11277,11277,13269,15322.0,33360,,415.0,30.0,,,196.0,454.0,257.0,110.0,1911.0,8540.0,13771,2125.0,6189.0,15257,,,,,,,,,,,,,,,,,,,,
122,1530,3622,8207,8207,15623,9588.0,29140,,74.0,108.0,,,290.0,149.0,386.0,868.0,2902.0,13143.0,7401,3029.0,8903.0,14350,,,,,,,,,,,,,,,,,,,,
123,2610,1250,2780,2780,13818,13144.0,18391,,494.0,38.0,,,,381.0,204.0,401.0,3752.0,10380.0,11442,3916.0,13574.0,8314,,,,,,,,,,,,,,,,,,,,
124,5511,2081,4691,4691,8803,18512.0,24628,,316.0,81.0,,,,450.0,440.0,138.0,3792.0,18822.0,16895,3926.0,10491.0,11932,,,,,,,,,,,,,,,,,,,,
125,4831,4113,9624,9624,11484,13928.0,34105,,231.0,239.0,,,,153.0,141.0,612.0,5822.0,16838.0,14172,6370.0,20053.0,17490,,,,,,,,,,,,,,,,,,,,
126,7615,4311,9142,9142,15593,29240.0,26638,,766.0,265.0,,,,36.0,199.0,153.0,5374.0,12764.0,24644,5530.0,17165.0,14417,,,,,,,,,,,,,,,,,,,,
127,8291,6126,13741,13741,12710,23536.0,54391,,229.0,293.0,,,,168.0,196.0,345.0,5525.0,12038.0,22212,5830.0,13147.0,26423,,,,,,,,,,,,,,,,,,,,
128,7089,6533,14824,14824,25151,16311.0,43375,,75.0,204.0,,,,72.0,189.0,125.0,3383.0,9044.0,18289,3498.0,12411.0,22695,,,,,,,,,,,,,,,,,,,,
129,3786,5740,12829,12829,19839,18329.0,29956,,116.0,248.0,,,,75.0,135.0,392.0,2588.0,13614.0,15421,2757.0,9640.0,18977,,,,,,,,,,,,,,,,,,,,
130,4099,3118,6904,6904,13645,15106.0,34583,,96.0,43.0,,,,,118.0,270.0,3434.0,8935.0,11632,3899.0,14670.0,15909,,,,,,,,,,,,,,,,,,,,
131,6721,2794,6893,6893,16254,19583.0,28220,,141.0,202.0,,,,,56.0,120.0,1229.0,10301.0,17048,1569.0,9811.0,12397,,,,,,,,,,,,,,,,,,,,
132,6662,6180,12901,12901,13114,12723.0,36583,,205.0,92.0,,,,,181.0,139.0,2488.0,10319.0,10164,2702.0,10783.0,18569,,,,,,,,,,,,,,,,,,,,
133,6298,6641,13303,13303,17000,13941.0,24296,,,73.0,,,,,84.0,127.0,2731.0,7092.0,12789,2769.0,10411.0,11380,,,,,,,,,,,,,,,,,,,,
134,5200,5832,12130,12130,11573,14079.0,26509,,,131.0,,,,,151.0,343.0,1763.0,8113.0,13050,1819.0,7209.0,13485,,,,,,,,,,,,,,,,,,,,
135,3447,4240,9440,9440,12568,9834.0,26599,,,143.0,,,,,35.0,561.0,1890.0,8915.0,8855,1960.0,8365.0,13180,,,,,,,,,,,,,,,,,,,,
136,4760,2699,6146,6146,12520,10848.0,18655,,,533.0,,,,,208.0,287.0,2537.0,10943.0,10003,2737.0,9329.0,9028,,,,,,,,,,,,,,,,,,,,
137,3215,4280,9040,9040,8821,13983.0,20304,,,91.0,,,,,46.0,56.0,3365.0,9752.0,11452,3497.0,11349.0,10325,,,,,,,,,,,,,,,,,,,,
138,5099,2453,5668,5668,9456,15591.0,26545,,,356.0,,,,,308.0,607.0,3025.0,8672.0,14308,3119.0,10065.0,12066,,,,,,,,,,,,,,,,,,,,
139,2780,2096,9298,9298,12562,13985.0,29527,,,543.0,,,,,187.0,208.0,2085.0,8033.0,12777,2245.0,9102.0,14846,,,,,,,,,,,,,,,,,,,,
