,0,Illiterate Male,dsf,Illiterate Persons,Literates Population Female,Literates Population Male,Literates Population Person,Main Agricultural Labourers Population Female,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Person,Main Cultivator Population Female,Main Cultivator Population Male,Main Cultivator Population Person,Main Household Industries Population Female,Main Household Industries Population Male,Main Household Industries Population Person,Main Other Workers Population Female,Main Other Workers Population Male,Main Other Workers Population Person,Main Working Population Female,Main Working Population Male,Main Working Population Person,Marginal Agriculture Labourers Population 0_3 Female,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population Female,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3_Female,Marginal Cultivator Population 3_6 Female,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population Female,Marginal Cultivator Population Male,Marginal Cultivator Population Person,Marginal Household Industries Population 0_3 Female,Marginal Household Industries Population 0_3 Male
170,3159,2414,6953,6953,15620,26572.0,35671,,,,,,,,,,7955.0,14045.0,13770,8357.0,14325.0,18724,,,,,,,,,,,,,,,,,,,,
171,6947,6084,5573,5573,12353,18493.0,27948,,,,,,,,,,5931.0,17362.0,26190,6178.0,17606.0,14202,,,,,,,,,,,,,,,,,,,,
172,5332,4512,13031,13031,23430,23802.0,50002,,,,,,,,,,6094.0,8278.0,19976,6236.0,8514.0,27105,,,,,,,,,,,,,,,,,,,,
173,4814,4135,9844,9844,15248,12670.0,33741,,,,,,,,,,3516.0,8656.0,23456,3605.0,8921.0,20503,,,,,,,,,,,,,,,,,,,,
174,2462,2009,8949,8949,19499,13849.0,43301,,,,,,,,,,3015.0,7802.0,11794,3102.0,8080.0,23842,,,,,,,,,,,,,,,,,,,,
175,2645,2015,4471,4471,11705,11559.0,24375,,,,,,,,,,2750.0,11980.0,11671,3042.0,12414.0,12119,,,,,,,,,,,,,,,,,,,,
176,1764,1620,4660,4660,12525,15200.0,26374,,,,,,,,,,4194.0,13553.0,10552,4493.0,13820.0,12023,,,,,,,,,,,,,,,,,,,,
177,7286,6325,3384,3384,10928,20567.0,22487,,,,,,,,,,4165.0,11711.0,16174,4298.0,11914.0,11122,,,,,,,,,,,,,,,,,,,,
178,4840,3847,13611,13611,13360,17710.0,28560,,,,,,,,,,4112.0,12412.0,17718,4191.0,12831.0,16907,,,,,,,,,,,,,,,,,,,,
179,3826,3145,8687,8687,17928,18423.0,38495,,,,,,,,,,3656.0,16280.0,15823,3914.0,17123.0,18118,,,,,,,,,,,,,,,,,,,,
180,4933,3783,6971,6971,16356,23776.0,34066,,,,,,,,,,5269.0,13438.0,16068,5706.0,13883.0,16105,,,,,,,,,,,,,,,,,,,,
181,7333,6159,8716,8716,16225,19295.0,34648,,,,,,,,,,3869.0,11489.0,21549,4008.0,12010.0,16745,,,,,,,,,,,,,,,,,,,,
182,6022,5328,13492,13492,19941,16632.0,43717,,,,,,,,,,3519.0,14033.0,17307,3682.0,14668.0,22829,,,,,,,,,,,,,,,,,,,,
183,4247,3412,11350,11350,16298,21044.0,35593,,,,,,,,,,4919.0,14640.0,15008,5119.0,14901.0,17891,,,,,,,,,,,,,,,,,,,,
184,5468,4622,7659,7659,14003,21256.0,30635,,,,,,,,,,5599.0,22140.0,18952,5747.0,23261.0,15692,,,,,,,,,,,,,,,,,,,,
185,5694,4893,10090,10090,18073,29896.0,39117,,,,,,,,,,11173.0,20717.0,20239,11853.0,22213.0,19787,,,,,,,,,,,,,,,,,,,,
186,8067,6916,10587,10587,18041,27093.0,39297,,,,,,,,,,8635.0,21169.0,33313,9274.0,21822.0,20648,,,,,,,,,,,,,,,,,,,,
187,9166,8109,14983,14983,23675,32022.0,53571,,,,,,,,,,8401.0,23804.0,29352,8705.0,25558.0,35114,,,,,,,,,,,,,,,,,,,,
188,8539,8325,17275,17275,21522,33276.0,48615,,,,,,,,,,9560.0,16912.0,29570,10430.0,18168.0,31487,,,,,,,,,,,,,,,,,,,,
189,10058,8881,16864,16864,22118,24498.0,54140,,,,,,,,,,9847.0,14756.0,33364,10460.0,15635.0,30527,,,,,,,,,,,,,,,,,,,,
190,6895,6024,18939,18939,27822,20849.0,61098,,,,,,,,,,5689.0,17557.0,26759,5895.0,17851.0,35988,,,,,,,,,,,,,,,,,,,,
191,7336,5989,12919,12919,20938,24354.0,45436,,,,,,,,,,6368.0,13293.0,20445,6470.0,13599.0,28628,,,,,,,,,,,,,,,,,,,,
192,6100,5150,13325,13325,17737,17216.0,38586,,,,,,,,,,4241.0,18659.0,23925,4476.0,19052.0,21530,,,,,,,,,,,,,,,,,,,,
193,7414,6258,11250,11250,21731,26236.0,46085,,,,,,,,,,6520.0,13993.0,17534,6723.0,14699.0,24321,,,,,,,,,,,,,,,,,,,,
194,7227,5976,13672,13672,14720,20829.0,31936,,,,,,,,,,4263.0,,25179,4461.0,,18075,,,,,,,,,,,,,,,,,,,,
195,7198,5343,13203,13203,22618,,48854,,,,,,,,,,,,18256,,,25775,,,,,,,,,,,,,,,,,,,,
